fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,100.0,100.0,0.0,88.16675567626953
2,10.0,100.0,100.0,0.0,88.09809112548828
3,10.0,100.0,100.0,0.0,88.05599975585938
4,10.0,100.0,100.0,0.0,87.99285125732422
5,14.81,100.0,93.0,0.0,87.96615600585938
6,15.19,100.0,88.5,0.0,87.93449401855469
7,15.7,100.0,77.7,0.0,87.908935546875
8,16.08,100.0,80.7,0.0,87.86775207519531
9,16.36,100.0,81.5,0.0,87.84332275390625
10,17.84,100.0,77.0,2.028130292892456,87.81368255615234
11,18.59,100.0,83.0,0.0,87.76797485351562
12,19.39,0.0,0.0,0.0,87.73876953125
13,20.33,82.14285714285714,17.6,0.0,87.7013168334961
14,18.11,84.18367346938776,18.4,0.0,87.68663787841797
15,19.13,15.306122448979592,0.1,2.3516268730163574,87.65692901611328
16,19.71,99.48979591836735,51.8,0.0,87.63258361816406
17,19.56,99.48979591836735,48.7,0.0,87.60430908203125
18,20.99,97.44897959183673,48.6,0.0,87.56671905517578
19,20.73,84.18367346938776,14.3,0.0,87.53192138671875
20,19.86,34.183673469387756,0.5,0.0,87.5040054321289
21,22.52,83.6734693877551,19.8,2.9356801509857178,87.47005462646484
22,20.8,73.9795918367347,14.7,0.0,87.4479751586914
23,20.76,64.28571428571429,12.2,0.0,87.41563415527344
24,19.68,28.571428571428573,1.5,0.0,87.4073715209961
25,21.14,77.04081632653062,16.8,0.0,87.3922348022461
26,21.88,66.83673469387755,18.6,3.1034841537475586,87.36417388916016
27,22.12,81.63265306122449,22.3,2.984651803970337,87.33241271972656
28,23.22,82.14285714285714,26.9,0.0,87.30406951904297
29,22.82,92.85714285714286,31.4,3.34246826171875,87.28763580322266
30,23.01,90.3061224489796,35.2,0.0,87.26385498046875
31,22.0,86.73469387755102,22.9,4.027052879333496,87.24297332763672
32,23.76,85.71428571428571,34.2,0.0,87.21695709228516
33,23.79,87.24489795918367,35.5,0.0,87.21363067626953
34,23.27,91.3265306122449,37.1,0.0,87.19190979003906
35,24.21,96.93877551020408,50.5,0.0,87.17474365234375
36,23.34,81.63265306122449,29.8,0.0,87.15399932861328
37,24.32,93.36734693877551,43.1,0.0,87.13644409179688
38,24.27,91.3265306122449,41.6,0.0,87.11783599853516
39,26.4,90.3061224489796,34.8,0.0,87.096435546875
40,24.9,90.81632653061224,46.4,0.0,87.07759857177734
41,24.5,91.83673469387755,46.4,0.0,87.06526947021484
42,23.6,89.79591836734694,37.3,0.0,87.04813385009766
43,27.72,87.24489795918367,40.5,4.429120063781738,87.03047180175781
44,24.16,89.28571428571429,42.2,0.0,87.0250473022461
45,27.6,90.3061224489796,41.3,0.0,87.01173400878906
46,25.36,88.26530612244898,40.7,0.0,87.00431823730469
47,27.2,89.79591836734694,37.9,0.0,86.99185180664062
48,27.76,86.22448979591837,26.2,0.0,86.98584747314453
49,27.94,90.3061224489796,40.4,0.0,86.97994232177734
50,29.86,88.26530612244898,35.7,0.0,86.97464752197266
