fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,100.0,100.0,0.0,88.16675567626953
2,10.0,100.0,100.0,0.0,88.09861755371094
3,10.0,100.0,100.0,0.0,88.05610656738281
4,13.25,100.0,96.1,1.7616220712661743,87.99663543701172
5,15.46,100.0,82.1,0.0,87.9477767944336
6,15.64,100.0,78.0,0.0,87.92051696777344
7,18.28,100.0,79.1,0.0,87.8817138671875
8,15.89,100.0,71.1,0.0,87.84037780761719
9,16.35,100.0,83.3,0.0,87.8125991821289
10,18.1,100.0,82.3,1.9841870069503784,87.78823852539062
11,18.15,100.0,86.6,2.111839532852173,87.75457763671875
12,19.71,96.93877551020408,35.2,0.0,87.72268676757812
13,19.65,87.75510204081633,19.8,0.0,87.69496154785156
14,20.06,97.95918367346938,52.7,0.0,87.67312622070312
15,19.29,0.0,0.0,2.323214054107666,87.65733337402344
16,20.42,84.6938775510204,21.7,0.0,87.64196014404297
17,20.55,94.38775510204081,47.0,0.0,87.61830139160156
18,21.07,95.40816326530613,51.3,0.0,87.59237670898438
19,21.03,78.06122448979592,20.5,0.0,87.57313537597656
20,19.69,23.979591836734695,0.3,2.9563727378845215,87.55570983886719
21,21.5,68.87755102040816,9.9,2.5704126358032227,87.52143096923828
22,20.18,82.14285714285714,15.8,0.0,87.5057601928711
23,21.3,88.77551020408163,41.7,0.0,87.47589874267578
24,20.82,53.57142857142857,7.1,3.3662033081054688,87.46810150146484
25,20.63,85.20408163265306,26.5,0.0,87.4459457397461
26,21.39,88.77551020408163,34.1,2.9427502155303955,87.4177474975586
27,21.58,59.69387755102041,11.7,3.054762125015259,87.38452911376953
28,21.21,62.244897959183675,15.8,0.0,87.35811614990234
29,21.5,79.59183673469387,20.7,3.424895763397217,87.34835815429688
30,22.04,81.63265306122449,24.9,0.0,87.3260269165039
31,20.56,78.57142857142857,19.9,2.870129346847534,87.31140899658203
32,22.43,70.40816326530613,20.9,0.0,87.28648376464844
33,22.5,86.22448979591837,28.5,0.0,87.2791976928711
34,22.6,79.59183673469387,22.1,0.0,87.26006317138672
35,22.94,95.40816326530613,33.7,0.0,87.24813079833984
36,23.59,84.6938775510204,28.9,0.0,87.22178649902344
37,23.05,92.34693877551021,35.0,0.0,87.20364379882812
