fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,100.0,100.0,0.0,88.16675567626953
2,10.0,100.0,100.0,0.0,88.0796890258789
3,10.0,100.0,100.0,0.0,88.00812530517578
4,15.04,100.0,86.2,1.8181774616241455,87.94537353515625
5,16.68,100.0,62.7,0.0,87.89873504638672
6,17.58,100.0,71.1,0.0,87.84848022460938
7,17.29,100.0,73.8,0.0,87.79347229003906
8,16.57,100.0,74.2,0.0,87.7423095703125
9,19.87,98.46938775510205,47.1,0.0,87.70079803466797
10,19.21,100.0,71.0,2.1861844062805176,87.66500091552734
11,18.87,100.0,56.6,0.0,87.61909484863281
12,20.69,50.51020408163265,3.2,0.0,87.5736083984375
13,21.07,85.20408163265306,16.8,0.0,87.53404998779297
14,20.57,93.36734693877551,33.4,0.0,87.50660705566406
15,20.35,45.91836734693877,4.0,2.819995880126953,87.47766876220703
16,21.49,83.16326530612245,22.6,0.0,87.4488754272461
17,20.09,87.24489795918367,21.8,0.0,87.42146301269531
18,20.74,84.6938775510204,18.9,0.0,87.38337707519531
19,21.03,69.38775510204081,11.2,0.0,87.34916687011719
20,21.23,82.14285714285714,18.3,3.395975112915039,87.31736755371094
21,21.8,87.75510204081633,25.4,3.236945152282715,87.28165435791016
22,22.01,93.87755102040816,27.8,0.0,87.25582122802734
23,21.84,90.3061224489796,31.2,0.0,87.22431945800781
24,22.34,89.28571428571429,29.1,2.9858176708221436,87.20830535888672
25,22.2,94.38775510204081,36.2,0.0,87.18135833740234
26,21.83,95.40816326530613,45.6,3.7801430225372314,87.15118408203125
27,22.83,91.3265306122449,31.2,3.314770221710205,87.11949920654297
28,23.56,88.26530612244898,32.6,0.0,87.09034729003906
29,23.47,92.85714285714286,40.2,3.5878262519836426,87.07405853271484
30,24.02,95.40816326530613,46.2,0.0,87.05221557617188
31,22.35,89.28571428571429,26.8,3.39438533782959,87.0287094116211
32,24.41,89.28571428571429,41.3,0.0,87.0037841796875
33,23.79,92.85714285714286,43.8,0.0,86.99568176269531
34,24.84,87.75510204081633,32.3,0.0,86.97977447509766
35,24.94,91.3265306122449,38.1,0.0,86.96533966064453
36,27.67,85.71428571428571,31.8,0.0,86.9532470703125
37,24.82,90.81632653061224,32.6,0.0,86.94300842285156
38,25.62,90.81632653061224,33.3,4.619917392730713,86.9328384399414
39,26.08,88.77551020408163,32.1,0.0,86.92143249511719
40,26.66,84.6938775510204,28.9,0.0,86.91231536865234
41,25.94,89.79591836734694,35.1,0.0,86.90618896484375
42,25.72,88.26530612244898,33.6,0.0,86.90151977539062
43,27.99,86.73469387755102,29.3,4.67569637298584,86.89775848388672
44,24.67,89.28571428571429,33.2,0.0,86.89146423339844
45,26.08,90.3061224489796,36.1,0.0,86.88501739501953
46,27.54,88.77551020408163,36.7,0.0,86.88273620605469
47,29.54,88.77551020408163,32.5,0.0,86.8797836303711
