fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,100.0,100.0,0.0,88.16675567626953
2,10.0,100.0,100.0,0.0,88.09672546386719
3,10.0,100.0,100.0,0.0,88.05448913574219
4,10.0,100.0,100.0,0.0,87.9902572631836
5,14.79,100.0,90.9,0.0,87.96337890625
6,15.24,100.0,79.9,0.0,87.9349594116211
7,17.87,100.0,77.5,0.0,87.90766143798828
8,16.05,100.0,77.0,0.0,87.86644744873047
9,16.35,100.0,81.8,0.0,87.8416519165039
10,17.81,100.0,75.4,1.9490936994552612,87.81287384033203
11,18.61,100.0,84.8,0.0,87.76647186279297
12,19.56,0.0,0.0,0.0,87.73859405517578
13,20.55,80.10204081632654,16.2,0.0,87.70275115966797
14,15.9,80.61224489795919,14.0,0.0,87.68685150146484
15,19.21,0.0,0.0,2.3914225101470947,87.65733337402344
16,19.78,98.9795918367347,56.0,0.0,87.63339233398438
17,19.76,99.48979591836735,62.6,0.0,87.60640716552734
18,20.71,94.89795918367346,37.8,0.0,87.57137298583984
19,20.18,78.57142857142857,11.4,0.0,87.53550720214844
20,19.12,25.0,0.4,0.0,87.50904846191406
21,20.05,83.6734693877551,20.7,2.9532322883605957,87.47720336914062
22,20.81,78.57142857142857,14.2,0.0,87.45462799072266
23,21.06,69.89795918367346,14.6,0.0,87.42300415039062
24,20.31,37.244897959183675,3.1,0.0,87.41486358642578
25,21.76,72.95918367346938,15.6,0.0,87.4017333984375
26,22.39,84.6938775510204,25.3,3.2029600143432617,87.37646484375
27,21.87,84.18367346938776,20.1,3.1479074954986572,87.34564208984375
28,23.52,87.24489795918367,29.0,0.0,87.31661224365234
29,22.47,90.3061224489796,31.3,3.0918102264404297,87.30119323730469
30,23.17,90.3061224489796,34.1,0.0,87.27740478515625
31,22.25,86.22448979591837,23.7,3.7040677070617676,87.25634002685547
32,23.76,88.26530612244898,34.2,0.0,87.23348999023438
33,23.78,93.87755102040816,35.7,0.0,87.23037719726562
34,23.29,90.81632653061224,32.3,0.0,87.20893859863281
35,23.68,96.42857142857143,45.8,0.0,87.19048309326172
36,23.2,88.77551020408163,27.5,0.0,87.17166900634766
37,23.6,95.40816326530613,40.2,0.0,87.15428161621094
38,23.6,90.81632653061224,39.1,0.0,87.13629150390625
39,25.57,88.77551020408163,32.5,0.0,87.11883544921875
40,23.63,90.81632653061224,40.0,0.0,87.09899139404297
41,24.27,91.83673469387755,40.8,0.0,87.08802795410156
42,24.35,92.34693877551021,37.0,0.0,87.0717544555664
43,27.13,90.81632653061224,41.3,3.84450626373291,87.05462646484375
44,24.67,91.83673469387755,43.3,0.0,87.04784393310547
45,25.98,94.38775510204081,40.4,0.0,87.03166198730469
46,25.91,92.85714285714286,43.2,0.0,87.02198028564453
47,26.27,88.26530612244898,37.4,0.0,87.00865936279297
48,27.44,85.71428571428571,27.4,0.0,86.99861145019531
49,23.97,89.79591836734694,44.9,0.0,86.99005126953125
50,28.44,88.77551020408163,40.6,0.0,86.9773178100586
51,27.52,93.87755102040816,48.5,0.0,86.97162628173828
52,27.21,87.24489795918367,38.0,0.0,86.96328735351562
53,28.68,82.65306122448979,36.3,0.0,86.95362091064453
54,26.79,89.79591836734694,44.9,0.0,86.94646453857422
55,28.12,87.75510204081633,39.8,0.0,86.93929290771484
56,29.37,91.3265306122449,58.8,0.0,86.93342590332031
57,29.47,83.16326530612245,36.9,0.0,86.93089294433594
58,28.88,90.3061224489796,31.9,0.0,86.92070770263672
59,28.5,91.3265306122449,54.0,4.757429599761963,86.91690826416016
60,30.31,89.28571428571429,31.5,0.0,86.91136932373047
61,29.01,85.71428571428571,31.2,4.86972188949585,86.90853881835938
62,27.73,85.20408163265306,32.8,0.0,86.90130615234375
63,29.22,87.75510204081633,31.9,0.0,86.89449310302734
64,29.83,88.77551020408163,38.7,0.0,86.8952865600586
65,28.61,81.63265306122449,27.1,0.0,86.89173889160156
66,30.64,90.3061224489796,48.1,0.0,86.88475799560547
67,32.15,86.22448979591837,35.2,0.0,86.88311004638672
68,30.63,87.24489795918367,38.3,4.9417948722839355,86.8775405883789
69,30.99,84.18367346938776,35.8,5.186566352844238,86.87095642089844
70,31.65,84.18367346938776,33.8,0.0,86.86641693115234
71,31.72,86.22448979591837,44.0,0.0,86.86370849609375
72,32.06,84.6938775510204,34.9,6.754463195800781,86.86226654052734
73,32.1,86.22448979591837,32.4,0.0,86.85880279541016
74,29.42,84.18367346938776,27.8,0.0,86.85597229003906
75,32.83,80.10204081632654,22.0,0.0,86.85513305664062
76,32.32,85.71428571428571,35.6,0.0,86.85079956054688
77,31.84,86.73469387755102,38.0,0.0,86.84727478027344
78,32.09,85.71428571428571,27.4,5.288008213043213,86.8458480834961
79,32.7,76.53061224489795,15.7,0.0,86.84566497802734
80,33.22,85.71428571428571,26.0,0.0,86.83892822265625
81,31.53,88.26530612244898,41.2,0.0,86.8413314819336
82,32.88,81.63265306122449,31.4,0.0,86.83734893798828
83,33.79,84.18367346938776,32.4,6.405752658843994,86.8339614868164
84,32.92,87.24489795918367,32.9,0.0,86.8327865600586
85,33.84,85.20408163265306,29.7,0.0,86.83189392089844
86,34.05,87.75510204081633,41.1,0.0,86.83511352539062
87,33.26,77.55102040816327,20.0,0.0,86.83342742919922
88,35.11,83.16326530612245,33.4,0.0,86.82683563232422
89,33.83,83.16326530612245,26.0,0.0,86.82906341552734
90,35.35,82.65306122448979,23.3,0.0,86.82721710205078
91,34.34,87.75510204081633,34.1,5.675836086273193,86.82939910888672
92,34.61,84.6938775510204,27.8,0.0,86.82715606689453
93,35.42,87.75510204081633,35.7,0.0,86.8291244506836
94,34.81,85.71428571428571,29.4,0.0,86.82858276367188
95,34.92,82.14285714285714,25.9,0.0,86.82554626464844
96,35.08,80.61224489795919,22.1,0.0,86.82319641113281
97,35.01,87.75510204081633,37.5,5.649545669555664,86.82164764404297
98,34.66,89.79591836734694,44.1,6.162262439727783,86.82322692871094
99,34.93,85.71428571428571,37.2,0.0,86.82637023925781
100,34.85,88.77551020408163,37.2,0.0,86.82308197021484
101,34.57,87.75510204081633,45.2,0.0,86.821044921875
102,35.65,85.71428571428571,35.3,5.9535908699035645,86.81693267822266
103,35.49,91.3265306122449,42.3,0.0,86.81828308105469
104,35.53,91.83673469387755,40.0,0.0,86.82272338867188
105,35.91,89.79591836734694,35.8,0.0,86.82047271728516
106,35.99,90.81632653061224,42.2,0.0,86.81809997558594
107,36.22,90.3061224489796,38.1,0.0,86.81318664550781
108,36.86,88.77551020408163,37.4,0.0,86.80611419677734
109,33.71,78.57142857142857,19.9,0.0,86.80085754394531
110,36.67,83.16326530612245,30.2,3.854525089263916,86.7856674194336
111,36.44,88.26530612244898,33.0,0.0,86.78044891357422
112,36.23,87.24489795918367,33.8,2.3474748134613037,86.76998138427734
113,36.78,86.73469387755102,39.9,0.0,86.75823211669922
114,37.4,92.85714285714286,46.1,0.0,86.74708557128906
115,37.41,89.79591836734694,40.5,0.0,86.74032592773438
116,38.49,88.26530612244898,51.1,0.0,86.7219467163086
117,38.76,85.71428571428571,36.0,0.0,86.70558166503906
118,38.32,92.85714285714286,48.5,1.673118233680725,86.6955795288086
119,36.08,82.65306122448979,28.1,0.0,86.6767349243164
120,38.69,84.6938775510204,29.6,0.0,86.64217376708984
121,37.83,84.18367346938776,31.4,2.858027219772339,86.62123107910156
122,38.88,92.34693877551021,47.9,0.0,86.60045623779297
123,36.49,89.28571428571429,39.5,1.645047664642334,86.57500457763672
124,38.84,87.24489795918367,38.1,0.0,86.54328918457031
125,37.81,85.20408163265306,34.3,0.7211399674415588,86.51622009277344
126,39.81,85.20408163265306,37.8,0.0,86.47891998291016
127,36.65,92.85714285714286,57.8,0.0,86.44573211669922
128,37.99,85.71428571428571,31.6,1.4295921325683594,86.42477416992188
129,39.84,86.73469387755102,39.4,0.0,86.39640808105469
130,38.66,89.28571428571429,47.0,0.0,86.36618041992188
131,39.82,89.28571428571429,43.3,0.0,86.34779357910156
132,39.06,81.63265306122449,30.3,0.0,86.30840301513672
133,40.74,86.22448979591837,43.8,0.8981555104255676,86.27819061279297
134,39.97,86.73469387755102,37.4,0.0,86.25353240966797
135,40.4,89.28571428571429,44.6,0.0,86.21337890625
136,37.29,82.14285714285714,24.3,0.0,86.17572021484375
137,39.97,84.6938775510204,37.2,0.0,86.1468276977539
138,38.62,87.24489795918367,40.9,0.0,86.10882568359375
139,39.38,80.61224489795919,22.8,0.0,86.07963562011719
140,40.86,94.38775510204081,58.9,0.0,86.05435180664062
141,39.62,79.08163265306122,27.7,0.0,86.02298736572266
142,39.4,87.24489795918367,45.4,0.8301780223846436,86.00013732910156
143,40.94,83.6734693877551,35.8,0.0,85.97377014160156
144,40.42,81.63265306122449,30.8,0.0,85.93418884277344
145,40.93,88.77551020408163,50.0,0.0,85.8924789428711
146,40.22,78.57142857142857,29.5,0.0,85.8522720336914
147,41.53,86.73469387755102,37.3,0.0,85.82003784179688
148,40.86,90.3061224489796,60.4,0.0,85.79476928710938
149,40.82,88.77551020408163,40.5,0.0,85.75853729248047
150,41.67,87.24489795918367,38.6,0.0,85.73626708984375
151,41.9,87.75510204081633,52.7,0.6379112005233765,85.70890808105469
152,41.35,85.71428571428571,36.9,0.40626826882362366,85.67768859863281
153,42.17,83.6734693877551,36.0,0.0,85.6391372680664
154,42.25,89.28571428571429,45.2,0.0,85.60157012939453
155,40.88,86.73469387755102,45.3,0.0,85.57703399658203
156,43.58,93.87755102040816,55.3,0.0,85.54930877685547
157,39.2,83.16326530612245,31.1,0.3082016706466675,85.51798248291016
158,43.11,87.75510204081633,42.0,0.0,85.47925567626953
159,42.19,83.16326530612245,35.4,0.0,85.46671295166016
160,42.41,82.65306122448979,33.6,0.6523414850234985,85.44755554199219
161,40.93,81.12244897959184,28.6,0.0,85.42081451416016
162,42.45,86.22448979591837,42.8,0.0,85.39125061035156
163,43.28,84.6938775510204,51.2,0.0,85.36695098876953
164,42.61,81.63265306122449,30.0,0.0,85.3282241821289
165,40.79,82.65306122448979,38.4,0.0,85.32109069824219
166,40.56,79.08163265306122,26.9,0.0,85.29949951171875
167,42.92,85.20408163265306,48.0,0.0,85.2816390991211
168,43.52,84.6938775510204,50.6,0.0,85.25361633300781
169,43.66,85.20408163265306,48.7,0.0,85.22434997558594
170,44.48,88.26530612244898,59.7,0.0,85.18917083740234
171,44.19,83.16326530612245,50.7,0.0,85.15194702148438
172,43.72,82.65306122448979,35.7,0.0,85.12828826904297
173,44.21,89.28571428571429,49.7,0.5614469647407532,85.10430145263672
174,45.35,83.6734693877551,49.2,0.0,85.07811737060547
175,44.44,86.73469387755102,49.6,0.0,85.05165100097656
176,44.27,82.65306122448979,38.5,0.0,85.01750183105469
177,44.73,84.6938775510204,48.4,0.4923814833164215,84.97606658935547
178,44.38,78.57142857142857,32.0,0.0,84.94698333740234
179,45.58,84.6938775510204,46.3,1.086920142173767,84.9169921875
180,45.87,82.65306122448979,45.7,0.0,84.8911361694336
181,46.66,84.6938775510204,56.5,0.0,84.86194610595703
182,46.27,84.18367346938776,45.5,0.0,84.84017181396484
183,45.9,85.20408163265306,47.4,0.0,84.81246948242188
