fl_iter,main_task_acc(k),backdoor_acc(k),raw_task_acc(k),adv_norm_diff(k),wg_norm(k),main_task_acc(mk),backdoor_acc(mk),raw_task_acc(mk),adv_norm_diff(mk),wg_norm(mk)
1,10,0,0,1.216249347,88.16675568,9.94,0,0,1.216249347,88.16675568
2,10,0,0,0,88.15734863,11.01,0,0,0,88.14310455
3,10,0,0,0,88.13959503,8.88,86.73469388,58.4,0,88.12812805
4,10,0,0,0,88.13410187,10,0,0,0,88.11205292
5,10,0,0,0,88.12857056,10,0,0,0,88.09980774
6,10,0,0,0,88.12310791,10,100,100,0,88.08396912
7,10,0,0,0,88.11208344,10,100,100,0,88.07247162
8,10,0,0,0,88.10180664,10,0,0,0,88.05714417
9,10,0,0,0,88.08777618,10,0,0,0,88.0426178
10,10,100,100,0,88.07972717,10.82,91.32653061,81.3,0,88.02888489
11,10,0,0,0.5755439401,88.07303619,10,0,0,0.7238541842,88.00666046
12,10,0,0,0,88.06151581,10,0,0,0,87.99141693
13,10,0,0,0,88.05311584,10,0,0,0,87.97805023
14,10,0,0,0,88.04024506,12.27,0,0,0,87.96556091
15,10,0,0,0,88.0296936,10,0,0,0,87.95129395
16,10,0,0,0,88.02565002,10,0,0,0,87.93791199
17,10,0,0,0,88.01186371,10,0,0,0,87.9251709
18,10,0,0,0,88.00389099,10,0,0,0,87.91223145
19,10,0,0,0,87.99742889,10,0,0,0,87.89710236
20,10,0,0,0,87.99217224,10,0,0,0,87.88781738
21,10,0,0,0.8911004663,87.98293304,13.77,81.12244898,36.5,1.223326802,87.86751556
22,10,0,0,0,87.97460938,17.87,0,0,0,87.84603119
23,10,0,0,0,87.96971893,15.85,0,0,0,87.8380127
24,10,0,0,0,87.96498871,18.84,0,0,0,87.82813263
25,10,0,0,0,87.96150208,18,0,0,0,87.81891632
26,10,0,0,0,87.95815277,16.43,89.28571429,75.3,0,87.80969238
27,10,0,0,0,87.95226288,14,98.97959184,93.7,0,87.79377747
28,10,0,0,0,87.95072174,16.53,95.91836735,91.7,0,87.79008484
29,10,0,0,0,87.94644165,17.38,0,0,0,87.78138733
30,10,0,0,0,87.9340744,16.8,0,0,0,87.76847076
31,10,0,0,0.8370374441,87.92951965,16.19,0,0,1.37716639,87.75893402
32,10,100,100,0,87.92642212,16.85,97.44897959,95,0,87.73181152
33,10,0,0,0,87.91619873,18.16,0,0,0,87.72753143
34,10,0,0,0,87.91123962,18.62,96.93877551,93.2,0,87.71770477
35,10,0,0,0,87.90463257,17.52,0,0,0,87.70632172
36,10,0,0,0,87.90036011,18.67,92.85714286,83,0,87.69342804
37,10,0,0,0,87.89729309,17.97,0,0,0,87.68578339
38,10,0,0,0,87.89009094,18.41,0,0,0,87.68012238
39,10,0,0,0,87.88461304,15,0,0,0,87.66945648
40,10,0,0,0,87.87291718,20.17,0,0,0,87.64929199
41,10,0,0,0.9057561755,87.86729431,18.86,0,0,1.432013869,87.63922119
42,10,100,100,0,87.85480499,17.53,79.59183673,92.5,0,87.62169647
43,10,100,100,0,87.84810638,18.69,0,0,0,87.61419678
44,10,0,0,0,87.84349823,18.13,0,0,0,87.59947205
45,10,0,0,0,87.83926392,20.53,77.04081633,85.7,0,87.59619904
46,10,0,0,0,87.83498383,20.89,86.2244898,89.9,0,87.5848465
47,10,0,0,0,87.82946014,19.22,0,0,0,87.57692719
48,10,0,0,0,87.81890106,18.07,0,0,0,87.56626892
49,10,0,0,0,87.81323242,19.89,0,0,0,87.55586243
50,10,0,0,0,87.80660248,19.62,0,0,0,87.53451538
51,10,0,0,0.8185864687,87.80525208,20.74,0,0,1.55221796,87.52308655
52,10,0,0,0,87.79953003,16.01,0,0,0,87.50928497
53,10,0,0,0,87.79204559,16.74,0,0,0,87.49591827
54,10,0,0,0,87.78684235,18.25,78.06122449,94.3,0,87.48543549
55,10,0,0,0,87.78212738,19.65,0,0,0,87.47420502
56,10,0,0,0,87.77586365,19.99,0,0,0,87.4655304
57,10,0,0,0,87.77056885,18.61,0,0,0,87.45727539
58,10,0,0,0,87.76567078,21.18,0,0,0,87.44667816
59,10,0,0,0,87.75721741,23.44,2.551020408,0.2,0,87.43690491
60,10,100,100,0,87.75268555,20.73,35.20408163,81.7,0,87.42306519
61,10,100,100,0.5824801922,87.74246216,25.81,0,0,1.582132936,87.40840149
62,10,100,100,0,87.73588562,20.7,73.46938776,95.9,0,87.39318848
63,10,100,100,0,87.73212433,22.54,69.3877551,81.1,0,87.38646698
64,10,100,100,0,87.72937775,20.72,0,0.1,0,87.3812027
65,10,100,100,0,87.72397614,18.39,0,0,0,87.37264252
66,10,100,100,0,87.72279358,22.82,5.612244898,50.1,0,87.35877991
67,10,0,0,0,87.71482849,25.36,7.142857143,44.5,0,87.34867859
68,10,0,0,0,87.70763397,23.23,0.5102040816,8.7,0,87.33732605
69,10,0,0,0,87.69060516,23.61,0,0,0,87.33202362
70,10,0,0,0,87.68791962,20.72,1.530612245,17.2,0,87.32064819
71,10,0,0,0.7220788002,87.67969513,24.33,0.5102040816,17.9,1.74386394,87.31090546
72,10,0,0,0,87.67845917,21.34,0,0,0,87.29472351
73,10,0,0,0,87.66738129,23.02,0,0,0,87.28326416
74,10,0,0,0,87.66164398,20.44,65.81632653,97.9,0,87.26773071
