fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,100.0,100.0,0.0,88.16675567626953
2,10.0,0.0,0.0,0.0,88.16385650634766
3,10.0,0.0,0.0,0.0,88.16217803955078
4,10.0,0.0,0.0,0.0,88.15714263916016
5,10.0,0.0,0.0,0.0,88.152099609375
6,10.0,0.0,0.0,0.0,88.15121459960938
7,10.0,0.0,0.0,0.0,88.1492919921875
8,10.0,0.0,0.0,0.0,88.14701080322266
9,10.0,0.0,0.0,0.0,88.14311218261719
10,10.0,0.0,0.0,0.0,88.13695526123047
11,10.0,0.0,0.0,0.0,88.13219451904297
12,10.0,0.0,0.0,0.0,88.13070678710938
13,10.0,0.0,0.0,0.0,88.12886047363281
14,10.17,0.0,0.0,0.0,88.1262435913086
15,10.0,100.0,100.0,1.2754687070846558,88.1207046508789
16,10.0,100.0,100.0,0.0,88.11779022216797
17,10.0,0.0,0.0,0.0,88.11558532714844
18,10.0,100.0,100.0,0.0,88.11817169189453
19,10.0,100.0,100.0,0.0,88.094970703125
20,10.0,100.0,100.0,0.0,88.0935287475586
21,10.0,100.0,100.0,0.0,88.09175872802734
22,10.0,100.0,100.0,0.0,88.09028625488281
23,10.0,100.0,100.0,0.0,88.0870590209961
24,10.0,0.0,0.0,0.0,88.08402252197266
25,10.0,0.0,0.0,0.0,88.0811538696289
26,10.0,0.0,0.0,0.8686003088951111,88.0798110961914
27,10.0,0.0,0.0,0.9049940705299377,88.07820892333984
28,10.0,0.0,0.0,0.0,88.07666015625
29,10.0,0.0,0.0,0.0,88.0753173828125
30,10.0,100.0,100.0,0.0,88.07215118408203
31,10.0,100.0,100.0,0.8045719265937805,88.07067108154297
32,10.0,100.0,100.0,0.0,88.06926727294922
33,10.0,100.0,100.0,0.0,88.06763458251953
34,10.0,100.0,100.0,0.0,88.06495666503906
35,10.0,100.0,100.0,0.0,88.06340026855469
36,10.0,100.0,100.0,0.0,88.060546875
37,10.0,100.0,100.0,0.0,88.05793762207031
38,10.0,100.0,100.0,0.0,88.05504608154297
