fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,100.0,100.0,0.0,88.16675567626953
2,10.0,100.0,100.0,0.0,88.14692687988281
3,10.0,100.0,100.0,0.0,88.1323471069336
4,10.01,98.46938775510205,100.0,0.0,88.10836791992188
5,11.73,0.0,0.0,0.0,88.09241485595703
6,16.17,9.183673469387756,70.9,0.0,88.07611083984375
7,16.24,100.0,89.2,0.0,88.0586166381836
8,13.06,0.0,0.0,0.0,88.03894805908203
9,12.78,0.0,0.0,0.0,88.02430725097656
10,15.62,100.0,74.9,0.0,88.0091323852539
11,15.56,100.0,79.8,0.0,87.98625183105469
12,16.77,8.16326530612245,28.5,0.0,87.97605895996094
13,17.2,6.63265306122449,46.8,0.0,87.95756530761719
14,15.95,31.122448979591837,40.1,0.0,87.9470443725586
15,18.44,2.5510204081632653,33.6,1.0417732000350952,87.9342041015625
16,18.16,98.46938775510205,84.7,0.0,87.91893005371094
17,16.66,0.0,0.0,0.0,87.9044418334961
18,17.18,4.081632653061225,31.6,0.0,87.89503479003906
19,17.87,1.0204081632653061,11.9,0.0,87.88117218017578
20,17.69,0.0,0.0,0.0,87.86907958984375
21,18.25,98.9795918367347,80.2,0.0,87.85093688964844
22,19.63,33.673469387755105,58.0,0.0,87.83534240722656
23,18.04,80.61224489795919,73.9,0.0,87.82022094726562
24,20.74,0.0,0.0,0.0,87.8088607788086
25,19.3,31.632653061224488,67.7,0.0,87.79542541503906
26,19.45,14.795918367346939,28.5,1.141595721244812,87.7823715209961
27,19.27,98.9795918367347,90.5,1.153530240058899,87.76689910888672
28,18.67,97.95918367346938,90.2,0.0,87.74980926513672
29,19.03,77.04081632653062,75.6,0.0,87.73883819580078
30,19.23,98.9795918367347,91.0,0.0,87.72550964355469
31,18.24,0.0,0.0,1.143488883972168,87.70966339111328
32,19.74,0.0,0.0,0.0,87.69493865966797
33,17.25,0.0,0.0,0.0,87.6859130859375
34,19.64,0.0,0.0,0.0,87.67164611816406
35,19.23,99.48979591836735,88.3,0.0,87.65400695800781
36,19.51,0.0,0.0,0.0,87.63973236083984
37,20.6,95.91836734693878,78.3,0.0,87.62861633300781
38,19.44,0.0,0.0,0.0,87.61475372314453
39,20.79,0.0,0.0,0.0,87.59858703613281
40,19.51,0.0,0.0,0.0,87.58232116699219
41,22.92,0.0,0.0,0.0,87.5735855102539
42,20.62,0.0,0.0,0.0,87.55911254882812
43,20.83,0.0,0.0,0.0,87.54437255859375
44,20.76,91.3265306122449,66.5,0.0,87.53437042236328
45,23.45,0.0,0.0,0.0,87.52424621582031
