fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,100.0,100.0,1.0394290685653687,88.16675567626953
2,10.0,100.0,100.0,1.0455843210220337,88.15103912353516
3,10.0,100.0,100.0,0.8438979983329773,88.13532257080078
4,10.0,100.0,100.0,0.9020242691040039,88.12077331542969
5,10.0,100.0,100.0,0.9681733846664429,88.10623168945312
6,10.0,100.0,100.0,1.1239497661590576,88.09184265136719
7,10.0,100.0,100.0,1.2611627578735352,88.07769775390625
8,12.37,7.653061224489796,51.7,1.273401141166687,88.06459045410156
9,19.29,38.775510204081634,84.6,1.3685123920440674,88.05155944824219
10,16.3,89.79591836734694,65.9,1.3225226402282715,88.037841796875
11,17.38,61.734693877551024,72.3,1.7916407585144043,88.02082061767578
12,18.21,71.93877551020408,82.8,1.3249009847640991,88.0062026977539
13,17.64,63.265306122448976,79.9,1.2357033491134644,87.99344635009766
14,19.09,48.97959183673469,64.6,1.331538200378418,87.98017120361328
15,16.43,77.55102040816327,61.5,1.1507350206375122,87.96649169921875
16,19.45,39.285714285714285,59.0,1.167517066001892,87.95211029052734
17,16.82,69.38775510204081,56.2,1.1739895343780518,87.93949890136719
18,20.65,19.387755102040817,48.9,1.13551664352417,87.92616271972656
19,15.6,80.61224489795919,53.0,1.82383394241333,87.91455078125
20,20.41,19.387755102040817,62.2,1.1391372680664062,87.89888763427734
21,20.05,8.673469387755102,36.5,1.1224884986877441,87.89075469970703
22,20.47,16.836734693877553,53.4,1.1058008670806885,87.87824249267578
23,20.85,38.265306122448976,54.5,1.0933911800384521,87.8669204711914
24,20.95,7.653061224489796,35.2,1.0818668603897095,87.85397338867188
25,20.82,20.408163265306122,44.9,1.1067734956741333,87.84418487548828
26,21.28,15.306122448979592,32.9,1.1288844347000122,87.83257293701172
27,19.08,82.65306122448979,72.5,1.090384602546692,87.81996154785156
28,21.75,15.816326530612244,34.7,1.0488003492355347,87.80940246582031
29,20.1,73.9795918367347,62.0,1.1376001834869385,87.7986831665039
30,21.14,37.755102040816325,44.5,1.2411550283432007,87.78734588623047
31,20.59,73.9795918367347,75.9,1.3284536600112915,87.77576446533203
32,22.38,20.408163265306122,37.7,1.3021212816238403,87.76555633544922
33,22.38,48.46938775510204,57.6,1.1898651123046875,87.75432586669922
34,23.84,29.591836734693878,40.5,1.1459107398986816,87.74356079101562
35,21.59,64.28571428571429,66.8,1.0896285772323608,87.73219299316406
36,22.92,39.285714285714285,47.2,1.0998725891113281,87.7214584350586
37,22.44,46.42857142857143,54.1,1.1699024438858032,87.71159362792969
38,24.24,42.3469387755102,48.0,1.1797014474868774,87.70057678222656
39,24.62,17.346938775510203,29.4,1.168574333190918,87.69051361083984
40,24.52,59.69387755102041,61.7,1.2628692388534546,87.67947387695312
41,23.6,18.367346938775512,29.2,1.2311861515045166,87.66940307617188
42,25.37,38.775510204081634,43.9,1.279810905456543,87.65950775146484
43,24.69,42.857142857142854,52.1,1.1641011238098145,87.64936065673828
44,23.5,43.36734693877551,42.8,1.2208603620529175,87.63908386230469
45,26.5,17.346938775510203,36.1,1.2144160270690918,87.6280288696289
46,26.0,22.959183673469386,34.0,1.1886069774627686,87.61971282958984
47,26.66,32.6530612244898,45.1,1.2618457078933716,87.60862731933594
48,26.1,25.0,38.6,1.2673559188842773,87.59790802001953
49,27.16,23.979591836734695,36.3,1.2735166549682617,87.589111328125
50,26.62,19.897959183673468,43.0,1.297672986984253,87.5782470703125
51,27.98,23.979591836734695,31.4,1.3240658044815063,87.56866455078125
52,27.21,30.612244897959183,40.8,1.2865079641342163,87.55862426757812
53,26.78,16.836734693877553,38.1,1.7543833255767822,87.54902648925781
54,28.23,12.244897959183673,23.5,1.2604907751083374,87.53872680664062
55,28.35,26.53061224489796,40.7,1.3274312019348145,87.52994537353516
56,28.81,16.836734693877553,30.8,1.4682384729385376,87.51982879638672
57,27.49,25.510204081632654,41.7,1.3793902397155762,87.51110076904297
58,28.17,15.306122448979592,31.4,1.3109636306762695,87.50227355957031
59,29.19,21.93877551020408,45.9,1.3450154066085815,87.49162292480469
60,29.01,40.30612244897959,47.3,1.504858136177063,87.48373413085938
61,30.47,22.448979591836736,33.8,1.4134559631347656,87.4746322631836
62,29.98,21.93877551020408,39.3,1.5340983867645264,87.4665298461914
63,30.5,21.93877551020408,39.0,1.4490360021591187,87.45697021484375
64,30.91,34.69387755102041,43.3,1.538472294807434,87.448486328125
65,31.17,31.122448979591837,47.5,1.5294175148010254,87.43836975097656
66,30.64,37.755102040816325,47.9,1.474935531616211,87.43190002441406
67,30.66,51.02040816326531,72.2,1.6109062433242798,87.42261505126953
68,31.78,22.959183673469386,36.6,1.6316397190093994,87.41340637207031
69,31.69,21.93877551020408,42.1,1.7302024364471436,87.40582275390625
70,31.0,35.714285714285715,48.5,1.698392629623413,87.3976821899414
71,32.75,44.89795918367347,69.6,1.5395622253417969,87.38916778564453
72,33.03,20.918367346938776,33.4,1.6299399137496948,87.3833999633789
73,31.78,52.55102040816327,72.4,1.751237392425537,87.37478637695312
74,30.93,16.3265306122449,21.0,1.717358112335205,87.3684310913086
75,32.87,32.6530612244898,48.9,1.6547361612319946,87.36042785644531
76,33.68,33.16326530612245,55.6,1.860360026359558,87.35335540771484
77,34.19,30.102040816326532,43.0,1.844765543937683,87.34380340576172
78,32.66,55.10204081632653,76.9,1.7942765951156616,87.33544921875
79,33.44,38.775510204081634,55.2,1.7167221307754517,87.32894134521484
80,32.69,36.224489795918366,46.5,1.8694250583648682,87.32211303710938
81,34.59,42.857142857142854,61.4,1.9860765933990479,87.31425476074219
82,35.17,43.36734693877551,53.2,1.8635261058807373,87.30706787109375
83,34.4,55.61224489795919,78.8,1.805997610092163,87.29904174804688
84,35.25,32.142857142857146,38.5,1.8976248502731323,87.29180145263672
85,35.12,44.38775510204081,63.4,1.8773058652877808,87.2838363647461
86,36.05,34.69387755102041,48.1,1.8763173818588257,87.27696990966797
87,35.33,58.673469387755105,75.7,1.8248016834259033,87.26825714111328
88,36.13,45.91836734693877,59.5,2.022515296936035,87.26187896728516
89,36.37,50.0,71.7,1.8255962133407593,87.2543716430664
90,35.8,31.122448979591837,40.8,1.7976751327514648,87.24816131591797
91,35.8,55.10204081632653,72.9,1.9929214715957642,87.24042510986328
92,37.95,41.83673469387755,55.0,1.8432142734527588,87.2343978881836
93,36.41,44.38775510204081,50.6,1.856032371520996,87.2276840209961
94,37.78,43.36734693877551,55.3,2.068723201751709,87.21989440917969
95,37.76,51.53061224489796,68.5,2.2395899295806885,87.2124252319336
96,36.74,58.16326530612245,83.1,1.968667984008789,87.20622253417969
97,38.65,27.040816326530614,30.3,2.0693113803863525,87.20045471191406
98,37.75,71.93877551020408,86.6,1.9908759593963623,87.19392395019531
99,37.66,33.673469387755105,44.3,2.095412254333496,87.1875
100,37.9,69.38775510204081,87.3,2.0819549560546875,87.17991638183594
101,38.03,20.408163265306122,18.8,1.8523164987564087,87.17060852050781
102,37.83,76.0204081632653,86.7,2.2215635776519775,87.16551971435547
103,39.28,30.612244897959183,28.4,1.9529950618743896,87.15794372558594
104,39.16,62.244897959183675,81.6,1.960857629776001,87.15381622314453
105,39.72,50.51020408163265,53.9,2.077336549758911,87.1479263305664
106,38.99,57.6530612244898,83.4,2.142712116241455,87.14069366455078
107,40.98,44.38775510204081,59.8,2.05960750579834,87.13551330566406
108,40.37,30.102040816326532,23.2,2.0204110145568848,87.12850189208984
109,39.97,63.265306122448976,81.6,2.1167924404144287,87.12323760986328
110,41.18,31.632653061224488,35.5,1.9256924390792847,87.11577606201172
111,40.31,72.95918367346938,86.5,2.064554452896118,87.1115951538086
112,41.34,37.244897959183675,55.6,2.0631797313690186,87.10508728027344
113,41.02,39.285714285714285,39.3,2.015305280685425,87.09864807128906
114,40.9,66.83673469387755,88.6,2.062670946121216,87.09288024902344
115,42.7,48.46938775510204,63.3,2.152570962905884,87.08746337890625
116,42.12,53.06122448979592,75.4,2.0620195865631104,87.08039855957031
117,43.41,43.87755102040816,64.3,2.053356409072876,87.07535552978516
118,42.63,38.265306122448976,47.4,2.0886833667755127,87.07084655761719
119,42.47,53.06122448979592,73.9,2.2611820697784424,87.06474304199219
120,43.72,45.40816326530612,57.5,2.0289645195007324,87.05767059326172
121,42.31,51.53061224489796,65.4,2.072402238845825,87.05072021484375
122,44.47,56.63265306122449,75.9,2.0480074882507324,87.0452651977539
123,43.71,22.959183673469386,18.3,2.2065210342407227,87.04122924804688
124,44.93,45.40816326530612,70.3,2.3014066219329834,87.0363540649414
125,44.69,35.714285714285715,49.4,2.1721889972686768,87.0309066772461
126,44.23,58.673469387755105,83.6,2.05401349067688,87.02374267578125
