fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,0.0,0.0,1.2162493467330933,88.16675567626953
2,10.0,0.0,0.0,0.0,88.14326477050781
3,10.0,100.0,100.0,0.0,88.12574768066406
4,10.0,0.0,0.0,0.0,88.10889434814453
5,10.0,0.0,0.0,0.0,88.09497833251953
6,10.0,100.0,100.0,0.0,88.07571411132812
7,10.0,100.0,100.0,0.0,88.05482482910156
8,10.0,0.0,0.0,0.0,88.04066467285156
9,10.0,0.0,0.0,0.0,88.02068328857422
10,10.0,0.0,0.0,0.0,88.00801849365234
11,10.0,0.0,0.0,0.740791916847229,87.98728942871094
12,10.0,0.0,0.0,0.0,87.9747543334961
13,10.0,0.0,0.0,0.0,87.94668579101562
14,10.0,0.0,0.0,0.0,87.93600463867188
15,10.14,0.0,0.0,0.0,87.9125747680664
16,10.0,0.0,0.0,0.0,87.89384460449219
17,10.0,0.0,0.0,0.0,87.88040924072266
18,10.0,0.0,0.0,0.0,87.86715698242188
19,10.0,0.0,0.0,0.0,87.8512954711914
20,10.0,100.0,100.0,0.0,87.83360290527344
21,10.0,0.0,0.0,0.7820452451705933,87.81526184082031
22,10.0,0.0,0.0,0.0,87.79349517822266
23,10.0,0.0,0.0,0.0,87.7757568359375
24,9.99,0.0,0.0,0.0,87.75936126708984
25,10.27,0.0,0.0,0.0,87.74295806884766
26,10.0,100.0,100.0,0.0,87.72657775878906
27,13.43,0.0,0.0,0.0,87.70734405517578
28,15.83,47.44897959183673,56.5,0.0,87.69612884521484
29,16.81,0.0,0.0,0.0,87.6863021850586
30,13.21,67.85714285714286,35.3,0.0,87.67469024658203
31,14.71,59.183673469387756,26.2,1.2703050374984741,87.6517105102539
32,13.47,100.0,94.1,0.0,87.63276672363281
33,15.06,0.0,0.0,0.0,87.62372589111328
34,16.78,0.0,0.0,0.0,87.61219024658203
35,15.51,69.89795918367346,52.4,0.0,87.59379577636719
36,13.22,0.0,0.0,0.0,87.58187103271484
37,14.38,0.0,0.0,0.0,87.57099914550781
38,17.9,11.224489795918368,22.8,0.0,87.55912017822266
39,17.93,0.0,0.0,0.0,87.54219055175781
40,18.35,1.0204081632653061,0.0,0.0,87.53020477294922
41,17.64,0.0,0.0,1.2133790254592896,87.51651000976562
42,16.65,91.83673469387755,89.5,0.0,87.49638366699219
43,17.6,0.0,0.0,0.0,87.48515319824219
44,16.66,0.0,0.0,0.0,87.47105407714844
45,17.56,84.6938775510204,93.3,0.0,87.4593505859375
46,16.96,30.102040816326532,15.8,0.0,87.44287872314453
47,18.42,32.142857142857146,27.2,0.0,87.43389892578125
48,17.96,0.0,0.0,0.0,87.41822052001953
49,17.43,0.0,0.0,0.0,87.4077377319336
50,19.09,0.0,0.0,0.0,87.38916015625
51,17.52,0.0,0.0,1.4260787963867188,87.37540435791016
52,17.86,0.0,0.0,0.0,87.36471557617188
53,18.47,34.183673469387756,16.0,0.0,87.34981536865234
54,15.62,0.0,0.0,0.0,87.33252716064453
55,20.56,0.0,0.0,0.0,87.3245849609375
56,17.89,84.6938775510204,93.1,0.0,87.303955078125
57,18.53,78.57142857142857,96.0,0.0,87.29471588134766
58,19.27,88.77551020408163,89.2,0.0,87.27873992919922
59,19.08,0.0,0.0,0.0,87.26690673828125
60,18.19,87.24489795918367,93.4,0.0,87.25115203857422
61,17.72,0.0,0.0,1.4164202213287354,87.23139953613281
62,19.86,0.0,0.0,0.0,87.22186279296875
63,19.46,62.244897959183675,51.5,0.0,87.20849609375
64,17.3,27.551020408163264,10.3,0.0,87.2008056640625
65,16.76,0.0,0.0,0.0,87.18083190917969
66,19.7,0.0,0.0,0.0,87.16912841796875
67,20.69,0.0,0.0,0.0,87.1566390991211
68,22.87,0.5102040816326531,3.0,0.0,87.14379119873047
69,18.57,0.0,0.0,0.0,87.13563537597656
70,19.41,1.530612244897959,13.8,0.0,87.12139129638672
71,18.33,0.0,0.0,1.4226300716400146,87.11058044433594
72,18.55,0.0,0.0,0.0,87.09497833251953
73,24.35,0.0,0.0,0.0,87.07986450195312
74,17.31,91.3265306122449,97.1,0.0,87.0626220703125
75,16.46,0.0,0.0,0.0,87.05203247070312
76,19.98,0.0,0.0,0.0,87.04269409179688
77,20.82,0.0,0.0,0.0,87.02307891845703
78,16.45,0.0,0.0,0.0,87.00963592529297
79,19.84,0.0,0.0,0.0,86.995849609375
80,21.5,46.93877551020408,85.6,0.0,86.99430847167969
81,20.24,60.204081632653065,89.5,1.6004148721694946,86.9694595336914
82,22.22,30.612244897959183,93.8,0.0,86.95893859863281
83,20.62,1.530612244897959,29.8,0.0,86.95488739013672
84,21.76,38.775510204081634,96.5,0.0,86.94091796875
85,27.84,0.0,0.0,0.0,86.92886352539062
86,26.12,0.0,0.0,0.0,86.9187240600586
87,24.36,29.081632653061224,82.1,0.0,86.90828704833984
88,25.17,12.755102040816327,70.8,0.0,86.89287567138672
89,28.49,0.0,6.2,0.0,86.88215637207031
90,27.14,0.0,0.0,0.0,86.87357330322266
91,26.22,15.816326530612244,62.0,1.9749858379364014,86.86766815185547
92,27.29,0.0,0.0,0.0,86.8470230102539
93,26.87,19.387755102040817,84.0,0.0,86.84037017822266
94,22.83,0.0,0.0,0.0,86.82770538330078
95,21.2,0.0,0.0,0.0,86.82174682617188
96,28.7,0.0,0.0,0.0,86.79862976074219
97,25.83,25.0,87.9,0.0,86.78609466552734
98,27.74,35.204081632653065,71.2,0.0,86.776611328125
99,23.38,0.0,0.0,0.0,86.76760864257812
100,27.47,29.081632653061224,73.7,0.0,86.75696563720703
101,24.86,27.040816326530614,60.8,1.7323352098464966,86.74614715576172
102,28.42,5.612244897959184,46.9,0.0,86.7276382446289
103,24.6,0.0,0.0,0.0,86.72077178955078
104,30.41,1.0204081632653061,4.5,0.0,86.71720123291016
105,30.15,23.46938775510204,78.1,0.0,86.7040786743164
106,26.96,0.0,0.0,0.0,86.69436645507812
107,21.03,50.51020408163265,93.4,0.0,86.68589782714844
108,22.17,0.0,0.0,0.0,86.66668701171875
109,26.72,0.0,0.0,0.0,86.6561279296875
110,24.59,0.0,0.0,0.0,86.652587890625
111,26.63,0.0,8.9,1.9626587629318237,86.63914489746094
112,29.07,15.816326530612244,16.3,0.0,86.62046813964844
113,26.7,0.0,0.0,0.0,86.60749053955078
114,33.48,16.3265306122449,59.1,0.0,86.60466003417969
115,29.11,3.061224489795918,7.4,0.0,86.59381866455078
116,18.7,0.0,0.0,0.0,86.59217834472656
117,28.35,21.428571428571427,28.7,0.0,86.57647705078125
118,26.13,0.5102040816326531,1.3,0.0,86.55718994140625
119,26.14,0.0,0.0,0.0,86.55530548095703
120,24.44,26.53061224489796,93.7,0.0,86.54182434082031
121,32.69,20.918367346938776,76.7,1.6994709968566895,86.52934265136719
122,28.72,9.693877551020408,83.0,0.0,86.51931762695312
123,30.59,0.0,0.0,0.0,86.51004791259766
124,26.94,1.530612244897959,35.5,0.0,86.49980926513672
125,27.13,19.897959183673468,79.1,0.0,86.49115753173828
126,29.58,17.857142857142858,75.8,0.0,86.47300720214844
127,31.34,8.673469387755102,68.1,0.0,86.46541595458984
128,27.03,3.5714285714285716,12.2,0.0,86.4586410522461
129,34.18,6.63265306122449,32.9,0.0,86.44953918457031
130,26.21,0.0,0.0,0.0,86.4426040649414
131,34.05,2.5510204081632653,52.5,1.9594355821609497,86.43872833251953
132,34.61,8.673469387755102,56.6,0.0,86.41966247558594
133,29.48,17.857142857142858,91.7,0.0,86.41461944580078
134,24.31,2.5510204081632653,58.0,0.0,86.4094467163086
135,31.42,3.5714285714285716,22.1,0.0,86.3985824584961
136,30.92,0.0,0.0,0.0,86.3841323852539
137,32.11,0.0,0.0,0.0,86.38066101074219
138,31.11,17.857142857142858,69.1,0.0,86.3721923828125
139,31.58,34.183673469387756,93.1,0.0,86.35615539550781
140,30.19,0.0,0.0,0.0,86.3478775024414
141,35.77,9.693877551020408,78.5,1.8688457012176514,86.33543395996094
142,30.96,8.673469387755102,12.2,0.0,86.32266235351562
143,34.19,21.428571428571427,87.7,0.0,86.31875610351562
144,17.93,0.0,0.0,0.0,86.30633544921875
145,27.07,26.53061224489796,6.5,0.0,86.30657196044922
146,23.18,0.0,0.0,0.0,86.27762603759766
147,26.49,0.0,0.0,0.0,86.27008819580078
148,30.23,43.87755102040816,95.8,0.0,86.26325988769531
149,37.81,0.0,0.0,0.0,86.25393676757812
150,36.53,0.0,0.0,0.0,86.25386810302734
151,33.9,14.285714285714286,79.3,1.8074308633804321,86.24359130859375
152,35.73,5.1020408163265305,6.6,0.0,86.22826385498047
153,34.06,6.63265306122449,3.3,0.0,86.22542572021484
154,31.45,7.653061224489796,15.7,0.0,86.21830749511719
155,30.53,1.530612244897959,3.1,0.0,86.20610809326172
156,29.59,16.3265306122449,65.8,0.0,86.19269561767578
157,30.71,4.591836734693878,10.2,0.0,86.183837890625
158,32.16,30.102040816326532,95.2,0.0,86.17057037353516
159,35.23,4.081632653061225,14.3,0.0,86.16686248779297
160,32.65,15.306122448979592,93.2,0.0,86.15949249267578
161,38.6,20.408163265306122,83.4,1.8887219429016113,86.15515899658203
162,39.14,2.5510204081632653,24.7,0.0,86.140380859375
163,34.25,8.673469387755102,25.4,0.0,86.13751983642578
164,33.25,1.0204081632653061,0.4,0.0,86.1337661743164
165,32.15,26.020408163265305,86.0,0.0,86.12800598144531
166,36.6,11.224489795918368,91.3,0.0,86.11629486083984
167,30.87,8.673469387755102,12.1,0.0,86.10455322265625
168,38.39,4.081632653061225,8.6,0.0,86.09735870361328
169,32.18,3.061224489795918,2.8,0.0,86.08290100097656
170,37.29,17.346938775510203,91.1,0.0,86.07840728759766
171,36.69,13.26530612244898,19.8,1.7916964292526245,86.066162109375
172,37.02,13.26530612244898,91.0,0.0,86.05966186523438
173,37.85,10.714285714285714,67.1,0.0,86.04749298095703
174,32.7,7.653061224489796,7.8,0.0,86.04393768310547
175,39.51,8.16326530612245,56.3,0.0,86.03820037841797
176,37.7,9.693877551020408,54.2,0.0,86.02713775634766
177,35.1,0.0,0.0,0.0,86.02227783203125
178,33.55,3.5714285714285716,4.7,0.0,86.0194320678711
179,36.25,0.5102040816326531,4.6,0.0,86.0103759765625
180,34.02,23.46938775510204,87.9,0.0,85.99840545654297
181,37.26,15.306122448979592,41.3,1.868664264678955,85.98741149902344
182,39.38,8.673469387755102,16.6,0.0,85.97625732421875
183,37.46,0.0,0.0,0.0,85.97296142578125
184,39.49,5.1020408163265305,54.2,0.0,85.96744537353516
185,36.69,15.816326530612244,92.7,0.0,85.9544448852539
186,37.67,0.0,0.0,0.0,85.94602966308594
187,39.81,8.673469387755102,7.0,0.0,85.94158172607422
188,40.42,3.5714285714285716,43.1,0.0,85.93270111083984
189,37.37,2.5510204081632653,1.2,0.0,85.92807006835938
190,40.02,5.1020408163265305,4.2,0.0,85.921630859375
191,42.55,23.46938775510204,70.8,2.024860143661499,85.91421508789062
