fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,0.0,0.0,1.2162493467330933,88.16675567626953
2,10.0,0.0,0.0,0.0,88.14694213867188
3,10.0,0.0,0.0,0.0,88.13045501708984
4,10.0,0.0,0.0,0.0,88.11454010009766
5,10.0,0.0,0.0,0.0,88.10218048095703
6,10.0,100.0,100.0,0.0,88.08585357666016
7,10.0,100.0,100.0,0.0,88.0664291381836
8,10.0,0.0,0.0,0.0,88.05183410644531
9,10.0,0.0,0.0,0.0,88.03639221191406
10,10.0,100.0,100.0,0.0,88.02296447753906
11,10.2,0.0,0.0,0.9961509704589844,88.00703430175781
12,10.0,0.0,0.0,0.0,87.98910522460938
13,10.0,0.0,0.0,0.0,87.96633911132812
14,11.18,0.0,0.0,0.0,87.95525360107422
15,12.82,0.0,0.0,0.0,87.93667602539062
16,10.27,0.0,0.0,0.0,87.91999053955078
17,14.85,0.0,0.0,0.0,87.90913391113281
18,14.61,0.0,0.0,0.0,87.89767456054688
19,11.13,0.0,0.0,0.0,87.88360595703125
20,16.85,97.95918367346938,87.5,0.0,87.87257385253906
21,16.59,96.42857142857143,69.7,1.247240662574768,87.85830688476562
22,17.76,0.0,0.0,0.0,87.84219360351562
23,16.12,0.0,0.0,0.0,87.82864379882812
24,18.61,0.0,0.0,0.0,87.81607818603516
25,17.85,0.0,0.0,0.0,87.80430603027344
26,15.85,91.3265306122449,85.7,0.0,87.79257202148438
27,16.29,0.0,0.0,0.0,87.7790298461914
28,16.02,93.36734693877551,94.4,0.0,87.76961517333984
29,17.36,0.0,0.0,0.0,87.76140594482422
30,18.14,0.0,0.0,0.0,87.74415588378906
31,17.72,7.142857142857143,0.5,1.350292682647705,87.73064422607422
32,15.75,95.40816326530613,98.4,0.0,87.70484924316406
33,17.61,0.0,0.0,0.0,87.70027160644531
34,16.84,0.0,0.0,0.0,87.6873779296875
35,15.87,33.673469387755105,21.4,0.0,87.67108917236328
36,16.22,0.0,0.0,0.0,87.66278076171875
37,17.98,0.0,0.0,0.0,87.654052734375
38,18.57,0.0,0.0,0.0,87.6464614868164
39,15.44,0.0,0.0,0.0,87.62922668457031
40,19.38,12.244897959183673,6.4,0.0,87.60941314697266
41,18.28,0.0,0.5,1.3683828115463257,87.60126495361328
42,17.79,80.10204081632654,94.6,0.0,87.58191680908203
43,18.11,0.0,0.0,0.0,87.57368469238281
44,17.26,0.0,0.0,0.0,87.55866241455078
45,18.85,75.51020408163265,93.8,0.0,87.55010986328125
46,17.38,10.204081632653061,1.9,0.0,87.53571319580078
47,18.99,0.0,0.0,0.0,87.52838134765625
48,18.5,0.0,0.0,0.0,87.5147476196289
49,18.68,0.0,0.0,0.0,87.50306701660156
50,19.35,0.0,0.0,0.0,87.48260498046875
