fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,100.0,100.0,0.0,88.16675567626953
2,10.0,100.0,100.0,0.0,88.15472412109375
3,10.0,100.0,100.0,0.0,88.14115905761719
4,10.0,100.0,100.0,0.0,88.13457489013672
5,10.0,100.0,100.0,0.0,88.12696075439453
6,10.05,97.44897959183673,100.0,0.0,88.12025451660156
7,10.0,100.0,100.0,0.0,88.11365509033203
8,10.04,97.95918367346938,100.0,0.0,88.10301208496094
9,10.53,86.73469387755102,99.9,0.0,88.09674835205078
10,10.55,63.775510204081634,97.9,0.0,88.0870361328125
11,10.21,80.61224489795919,99.3,0.0,88.07968139648438
12,10.54,80.61224489795919,99.5,1.5850670337677002,88.0726318359375
13,12.95,39.795918367346935,86.7,0.0,88.06236267089844
14,17.91,53.06122448979592,90.0,0.0,88.05513000488281
15,18.58,33.673469387755105,82.8,0.0,88.04541778564453
16,16.96,100.0,84.8,0.0,88.03620147705078
17,17.16,92.85714285714286,86.5,0.0,88.02485656738281
18,16.77,100.0,78.8,0.0,88.01583862304688
19,17.02,100.0,81.1,0.0,88.00411987304688
20,16.97,100.0,73.1,0.0,87.99051666259766
21,17.28,62.244897959183675,78.0,0.0,87.98299407958984
22,16.9,36.734693877551024,58.9,0.0,87.97721099853516
23,17.92,57.142857142857146,66.3,0.0,87.96742248535156
24,17.89,52.04081632653061,77.4,0.0,87.96038055419922
25,17.99,99.48979591836735,82.2,0.0,87.95094299316406
26,17.88,99.48979591836735,77.1,0.0,87.94473266601562
27,18.03,95.40816326530613,85.0,0.0,87.93971252441406
28,18.68,98.9795918367347,74.6,0.0,87.93049621582031
29,18.89,98.9795918367347,72.6,0.0,87.9198226928711
30,18.82,98.9795918367347,78.2,1.5981029272079468,87.91091918945312
31,18.91,98.9795918367347,73.0,0.0,87.90177917480469
32,19.09,98.9795918367347,73.2,0.0,87.8894271850586
33,19.76,98.9795918367347,85.4,0.0,87.8802261352539
34,19.23,78.06122448979592,79.9,0.0,87.8766860961914
35,19.43,68.87755102040816,83.4,0.0,87.86923217773438
36,19.57,98.9795918367347,76.7,0.0,87.8604965209961
37,21.07,5.612244897959184,46.0,0.0,87.84765625
38,19.55,99.48979591836735,86.7,0.0,87.84076690673828
39,19.94,98.9795918367347,81.0,0.0,87.8322525024414
40,19.89,98.9795918367347,79.9,0.0,87.82530975341797
41,20.55,61.734693877551024,76.3,0.0,87.81629180908203
42,20.02,98.9795918367347,74.7,0.0,87.8084487915039
43,20.36,99.48979591836735,80.5,0.0,87.7968978881836
44,20.81,98.9795918367347,80.7,0.0,87.7890625
45,20.41,99.48979591836735,77.6,0.0,87.78173065185547
46,24.72,14.795918367346939,46.4,0.0,87.77303314208984
47,23.82,26.53061224489796,37.9,0.0,87.76678466796875
48,24.27,89.79591836734694,68.2,0.0,87.7602767944336
49,25.5,56.12244897959184,49.4,0.0,87.75312805175781
50,25.58,3.5714285714285716,14.0,0.0,87.74787902832031
51,26.28,6.122448979591836,18.0,0.0,87.7427749633789
52,25.01,6.63265306122449,10.4,0.0,87.73804473876953
53,26.2,31.632653061224488,19.8,1.254915714263916,87.72906494140625
54,26.73,43.87755102040816,24.3,0.0,87.7225341796875
55,25.7,42.857142857142854,21.8,0.0,87.71686553955078
56,26.08,8.673469387755102,7.4,0.0,87.71067810058594
57,26.35,42.857142857142854,17.2,0.0,87.70608520507812
58,26.36,60.204081632653065,28.8,0.0,87.69721984863281
59,25.92,48.97959183673469,20.7,0.0,87.69007110595703
60,27.35,69.89795918367346,39.0,0.0,87.68389892578125
61,26.5,79.08163265306122,48.1,0.0,87.67527770996094
62,26.0,53.57142857142857,18.2,0.0,87.66883087158203
63,26.53,82.14285714285714,46.7,0.0,87.6629638671875
64,26.8,63.265306122448976,28.2,0.0,87.65444946289062
65,26.51,54.08163265306123,17.6,0.0,87.64783477783203
66,26.16,57.6530612244898,20.6,0.0,87.6415786743164
67,26.98,60.204081632653065,26.4,0.0,87.6363754272461
68,27.33,71.93877551020408,37.8,0.0,87.6306381225586
69,26.47,45.91836734693877,12.8,0.0,87.625244140625
70,28.68,53.57142857142857,18.2,0.0,87.619384765625
71,28.96,66.83673469387755,31.2,0.0,87.61497497558594
72,28.94,68.87755102040816,36.7,0.0,87.60865020751953
73,28.39,44.89795918367347,13.6,0.0,87.603759765625
74,29.65,61.224489795918366,32.5,0.0,87.59944915771484
75,28.5,56.12244897959184,17.1,0.0,87.59596252441406
76,28.68,37.755102040816325,11.7,0.0,87.59020233154297
77,28.9,53.06122448979592,17.6,0.0,87.58731079101562
78,28.07,38.775510204081634,9.7,0.0,87.58174133300781
79,28.45,50.51020408163265,11.9,0.0,87.57630920410156
80,28.97,55.10204081632653,18.6,0.0,87.57080078125
81,27.92,35.714285714285715,5.2,0.0,87.56651306152344
82,28.7,44.38775510204081,10.7,1.6633554697036743,87.56132507324219
