fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,0.0,0.0,1.2162493467330933,88.16675567626953
2,10.0,0.0,0.0,0.0,88.1573486328125
3,10.0,0.0,0.0,0.0,88.13959503173828
4,10.0,0.0,0.0,0.0,88.13410186767578
5,10.0,0.0,0.0,0.0,88.12857055664062
6,10.0,0.0,0.0,0.0,88.12310791015625
7,10.0,0.0,0.0,0.0,88.1120834350586
8,10.0,0.0,0.0,0.0,88.101806640625
9,10.0,0.0,0.0,0.0,88.08777618408203
10,10.0,100.0,100.0,0.0,88.07972717285156
11,10.0,0.0,0.0,0.5755439400672913,88.07303619384766
12,10.0,0.0,0.0,0.0,88.06151580810547
13,10.0,0.0,0.0,0.0,88.05311584472656
14,10.0,0.0,0.0,0.0,88.04024505615234
15,10.0,0.0,0.0,0.0,88.02969360351562
16,10.0,0.0,0.0,0.0,88.02565002441406
17,10.0,0.0,0.0,0.0,88.0118637084961
18,10.0,0.0,0.0,0.0,88.00389099121094
19,10.0,0.0,0.0,0.0,87.99742889404297
20,10.0,0.0,0.0,0.0,87.99217224121094
21,10.0,0.0,0.0,0.8911004662513733,87.9829330444336
22,10.0,0.0,0.0,0.0,87.974609375
23,10.0,0.0,0.0,0.0,87.96971893310547
24,10.0,0.0,0.0,0.0,87.9649887084961
25,10.0,0.0,0.0,0.0,87.96150207519531
26,10.0,0.0,0.0,0.0,87.9581527709961
27,10.0,0.0,0.0,0.0,87.95226287841797
28,10.0,0.0,0.0,0.0,87.95072174072266
29,10.0,0.0,0.0,0.0,87.94644165039062
30,10.0,0.0,0.0,0.0,87.93407440185547
31,10.0,0.0,0.0,0.8370374441146851,87.92951965332031
32,10.0,100.0,100.0,0.0,87.92642211914062
33,10.0,0.0,0.0,0.0,87.91619873046875
34,10.0,0.0,0.0,0.0,87.91123962402344
35,10.0,0.0,0.0,0.0,87.90463256835938
36,10.0,0.0,0.0,0.0,87.90036010742188
37,10.0,0.0,0.0,0.0,87.89729309082031
38,10.0,0.0,0.0,0.0,87.89009094238281
39,10.0,0.0,0.0,0.0,87.88461303710938
40,10.0,0.0,0.0,0.0,87.87291717529297
41,10.0,0.0,0.0,0.9057561755180359,87.86729431152344
42,10.0,100.0,100.0,0.0,87.85480499267578
43,10.0,100.0,100.0,0.0,87.84810638427734
44,10.0,0.0,0.0,0.0,87.84349822998047
45,10.0,0.0,0.0,0.0,87.83926391601562
46,10.0,0.0,0.0,0.0,87.8349838256836
47,10.0,0.0,0.0,0.0,87.82946014404297
48,10.0,0.0,0.0,0.0,87.81890106201172
49,10.0,0.0,0.0,0.0,87.813232421875
50,10.0,0.0,0.0,0.0,87.80660247802734
